country_name,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,BRA,15165569912.52,15236854859.47,19926293839.02,23021477292.21,21211892259.99,21790035117.19,27062716577.91,30591834053.97,33875881876.37,37458898243.86,42327600098.24,49204456700.45,58539008786.37,79279057730.83,105136007528.76,123709376567.89,152678020452.83,176171284311.76,200800891870.16,224969488835.18,235024598983.26,263561088977.13,281682304161.04,203304515490.8,209023912696.84,222942790435.3,268137224729.72,294084112392.66,330397381998.49,425595310000,461951782000,602860000000,400599250000,437798577639.75,558111997497.26,769305386182.85,850426432991.74,883199625324.68,863723411632.92,599388579985.67,655420645476.91,559372276081.97,507962487700.02,558319920831.98,669316654017.09,891630175813.34,1107640297889.95,1397084345950.39,1695824571927.15,1667019780934.28,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1793989048409.29,2055505502224.73,
Botswana,BWA,30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,126957494.41,165258093.88,244129088.03,306033848.42,355172413.79,372010119.6,451603325.42,590376720.6,819877300.61,1060923829.13,1073861599.14,1014907254.54,1172258182.15,1240796364.76,1114764007.15,1392634771.97,1965274882.36,2644536804.11,3083800684.9,3790567051.87,3942792837.36,4146513722.33,4160086253.15,4259330999.03,4730611067.02,4847752842.79,5020214747.45,4790458837.17,5484257417.18,5788329609.16,5489608299.66,5438857106.74,7511582173.38,8957467706.54,9931134940.51,10126940513.31,10939053365.48,10945070441.93,10267133177.73,12786654365.87,15351972226.5,14420393568.86,14901750764.98,16250750259.02,14406496463.61,15648632361.57,17406565823.3,
Central African Republic,CAF,112155598.95,123134584.47,124482748.94,129379097.89,142025069.46,150574816.3,157930041.88,163820538.87,191767436.96,188039191.32,189106554.52,201450768.37,230317908.04,271183061.36,281398668.16,378660016.27,451152449.98,507298120.68,610578523.76,700764892.7,797048028.77,694803502.72,748312283.73,658679394.91,637820620.67,864849765.06,1122265026.38,1200991825.95,1264899368.2,1233930277.05,1440711395.67,1377375030.53,1411917558.46,1278781166.72,851174350.65,1115389731.79,1007791186.2,937741468.03,967338348.66,999477510.69,914500299.1,931833302.75,991387870.12,1139754799.16,1270080250.65,1337362392.15,1460561215.44,1697565948.65,1985240986.19,1981732633.92,1986015906.25,2195599556.74,2169706564.06,1518565298.36,1702899386.14,1583776805.97,1755468136.87,1949411659.2,
Canada,CAN,41093453544.91,40767969453.7,41978852041.44,44657169109.22,48882938810.22,53909570342.17,60358632035.15,64768831262.18,70759031841.72,77887510241.71,87896095224.42,99271961477.52,113082820992.02,131321859214.08,160408697648.26,173834029787.65,206575564401.62,211612156934.65,218632867449.81,243072102185.42,273853826377.01,306214863624.99,313506525087.14,340547711781.89,355372558103.62,364756499450.75,377437927311.98,431316742081.45,507354351182.25,565055743243.24,593929550908.47,610328183643.19,592387689252.92,577170761956.44,578139279437.61,604031623433.4,628546387972.13,652825364726.28,631813279406.81,676082654640.91,742293448252.64,736379777892.56,757950678646.53,892380986367.85,1023196003074.56,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613464422811.13,1788647906047.76,1824288757447.57,1842628005830.18,1799268695861.8,1559623393038.66,1535767736946.18,1653042795255.04,
Chile,CHL,4110000000,4609727272.73,5416272727.27,5668187500,5982347826.09,6026593750,7072641025.64,7013196078.43,7167086956.52,8377093023.26,9126309734.51,10884114754.1,11853817307.69,16836261173.18,16210404183.54,7622217352.34,10341925249.04,13962893421.54,15989933708.15,21803696985.23,29036709871.79,34509878043.59,25325893205.66,20355959237.21,19622527479.69,17702885393.51,18891048818.74,22255407684.7,26040229793.07,29885685142.91,33113887817.97,37834793730.31,45964327558.88,49297773130.12,57008425295.83,73447063319.3,78039572221.6,84952360922.47,81577430181.41,75173794497.03,77860932151.85,70979923960.37,69736811435.1,75643459839.6,99210392857.61,122964812046.07,154788024805.81,173605968179.26,179638496278.57,172389498444.62,218537551220.07,252251992029.44,267122320056.7,278384332694.36,260584090570.99,243999477737.94,250036180921.05,277075944401.94,
China,CHN,59716467625.31,50056868957.67,47209359005.61,50706799902.51,59708343488.5,70436266146.72,76720285969.62,72881631326.67,70846535055.65,79705906247.46,92602973434.07,99800958648.14,113687586299.05,138544284708.96,144182133387.72,163431551779.76,153940455341.51,174938098826.57,149540752829.27,178280594413.04,191149211575,195866382432.54,205089699858.78,230686747153.26,259946510957.14,309488028132.65,300758100107.25,272972974764.57,312353631207.82,347768051311.74,360857912565.97,383373318083.62,426915712711.15,444731282436.76,564324670005.92,734547898220.51,863746717503.79,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.90,11064666282625.50,11190992550229.50,12237700479375.00,
Cote d'Ivoire,CIV,546203561.57,618245639.22,645284344.68,761047045.83,921063266.45,919771356.43,1024103034.29,1082922892.15,1281281245.67,1361360157.27,1455482990.24,1584128262.09,1849400599.78,2508421234.86,3070151901.06,3893839190.27,4662053707.78,6265067857.87,7900524897.86,9142935857.95,10175615441.81,8432588483.85,7567109766.61,6838185418.54,6841638714.55,6977650069.34,9158302205.36,10087653189.33,10255170459.99,9757410614.08,10795850106.95,10492628915.49,11152971316.07,11045759468.94,8313557450.25,11000146839.5,12139234938.79,11722142706.13,12612033728.86,12376639822.93,10717022462.69,11192560827.3,12346919216.14,15306602560.25,16554441846.52,17084928927.46,17800887796.5,20343635319.62,24224903099.63,24277493862.06,24884505034.56,25381616734.07,26790579775.3,31273049200.24,35343298113.51,39633467835.73,35389998638.94,37353276059.25,
Cameroon,CMR,618740988.01,657597382.76,699373701.22,723624365.29,782384527.81,814139855.76,853268771.1,934079050.35,1053077155.18,1152418514.83,1160002260.95,1233991075.12,1430951331.85,1758727395.19,2255496995.49,2752771043.89,3076592431.27,3366368664.6,4409920643.64,5811444660.66,6740756568.92,7636345827.34,7322914570.16,7381854746.92,7801858825.18,8148223603.58,10621158532.52,12302471429.43,12493286761.73,11140055364.15,11151578050.74,12434370004.96,11396310990.22,15498179313.04,10600157683.84,9643953174.77,10513387441.62,10833497457.51,10612847429.35,11198378749.47,10083937740.06,10371327756.45,11579343088.16,14548845764.53,17430933517.3,17944084201.49,19356046327.9,22365265025.66,26409781215.18,26017925551.84,26143818509.64,29337006833.08,29104437355.04,32348149947.37,34942948737.4,30916218544.44,32621535418.9,34922782310.64,
Democratic Republic of Congo,COD,3359404117.65,3086746857.14,3779841428.57,6213185742.57,2881545272.73,4043901818.18,4532660181.82,3384063371.76,3909780538.92,5032434970.06,4877684910.18,5594770359.28,6173712814.37,7870239461.08,9596960179.64,10237343173.65,9648583224.99,12344424763.57,15372608002.39,15068422236.37,14394927494.86,12537821038.22,13651667371.17,11006712650.45,7857729193.2,7195042616.01,8095367168.22,7661625472.58,8861299976.74,9021862775.26,9349764580.37,9625436872.51,8227343907.27,10706259936.74,5820382248.28,5643439376.1,5771454939.62,6090840548.19,6215591269.9,4711259427.27,19088046305.8,7438189100.33,8728038525.14,8937567059.88,10297483481.22,11964484667.91,14451902467.93,16737071816.38,19788515873.89,18648373312.42,21565720044.46,25839749198.82,29306235826.39,32679745297.65,35909040265.93,37917704900.08,37134799974.52,37642482562.32,
Republic of Congo,COG,131731862.57,151675739.16,166521239.86,172233430.87,185693724.85,198318063.86,220613582.37,237397428.34,251247458.01,265040036.06,274960699.86,322128019.32,410669262.9,541973362.48,585364635.35,767102679.02,754549600.55,765224030.64,878771771.29,1198749665.95,1705796849.55,1993512325.92,2160640566.54,2097274289.62,2193581366.41,2160872541.42,1849268214.68,2297753649.28,2212536313.33,2389593021.95,2798746050.58,2724853592.73,2933222714.12,1918970032.41,1769365425.04,2116003977.98,2540697688.06,2322718991.26,1949481296.61,2353909563.94,3219910550.39,2794259783.08,3019993738.77,3495868808.05,4648628921.37,6087003176.12,7731261310.93,8394688284.06,11859013281,9593537550.75,12007880438.62,14425607179.66,13677930123.59,14085851348.07,14177437982.26,8553154580.4,9035848070.9,8701334800.22,
