country_name,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Australia,AUS,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933,24772247,25088636,25398177,25700455,25996287,26286687,26573232,26857068,27138610,27417603,27693680,27966193,28234742,28499354,28760433,29018332,29273531,29526448,29777258,30026101,30273354,30519420,30764641,31009076,31252803,31496058,31739106,31982056,32225028,32467814,32709660,32949581,33186818,33421076,33652432,33880899,34106656,34329789,34550281,34767994,34982925,35195073,35404457,35611058,35814913,36016123,36214816,36411095,36604991,36796486,36985644,37172476,37357006,37539281,37719288,37896886,38071907,38244210,38413784,38580707,38745050,38906940,39066484,39223699,39378635,39531465,39682430,39831668,39979245,40125120,40269290,40411716,40552333,40691076,40827875,40962609,41095166,41225397,41353126,41478159,41600256,41719156,41834586
Austria,AUT,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212,8751820,8766201,8782210,8800683,8820467,8840866,8860572,8878617,8895000,8910093,8923730,8935707,8945882,8954175,8960620,8965350,8968574,8970477,8971097,8970431,8968620,8965812,8962110,8957572,8952219,8946033,8938992,8931070,8922320,8912733,8902223,8890624,8877857,8863925,8848914,8832948,8816153,8798684,8780593,8761977,8743040,8724044,8705193,8686586,8668264,8650293,8632729,8615630,8599031,8582925,8567216,8551786,8536493,8521347,8506325,8491374,8476367,8461262,8446029,8430717,8415360,8400046,8384848,8369778,8354897,8340347,8326285,8312877,8300149,8288127,8276821,8266279,8256496,8247466,8239147,8231488,8224440,8217908,8211802,8206029,8200448,8194942,8189358
Azerbaijan,AZE,3895396,4030320,4171425,4315128,4456689,4592610,4721525,4843870,4960235,5071930,5180025,5284532,5385267,5483084,5579077,5674137,5768724,5863134,5957929,6053645,6150738,6249320,6349558,6452076,6557585,6666455,6778633,6893500,7010036,7126891,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429,9923914,10014575,10099743,10179146,10252564,10320433,10383416,10442074,10496551,10546995,10593977,10638202,10680202,10720233,10758354,10794574,10828788,10860905,10891006,10919100,10944978,10968335,10988920,11006695,11021665,11033792,11043035,11049380,11052844,11053445,11051298,11046509,11039198,11029440,11017348,11003094,10986923,10969019,10949509,10928488,10906056,10882343,10857437,10831458,10804472,10776506,10747569,10717685,10686902,10655310,10622976,10589951,10556306,10522113,10487432,10452343,10416916,10381219,10345317,10309297,10273278,10237397,10201788,10166491,10131541,10097028,10063011,10029543,9996656,9964305,9932453,9900997,9869855,9838941,9808216,9777614,9747070,9716498,9685794,9654824,9623435,9591438,9558619
Bahamas,BHS,109528,115108,121083,127333,133698,140054,146366,152609,158627,164248,169354,173863,177839,181488,185099,188882,192902,197111,201513,206032,210661,215396,220275,225187,230015,234687,239131,243393,247579,251849,256336,261116,266134,271165,275895,280150,283790,286970,290060,293572,297890,303135,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232,395361,399285,403095,406839,410556,414225,417836,421345,424732,427995,431152,434193,437109,439896,442558,445094,447498,449791,451970,454048,456009,457876,459657,461356,462992,464554,466055,467495,468871,470201,471466,472678,473820,474894,475887,476815,477670,478466,479187,479854,480447,480991,481468,481894,482265,482580,482841,483047,483218,483327,483392,483409,483378,483291,483163,482979,482760,482492,482181,481832,481444,481019,480568,480070,479556,479009,478438,477847,477245,476629,476004,475366,474727,474094,473458,472818,472181,471538,470897,470254,469605,468953,468288,467615
Bahrain,BHR,162427,167894,173144,178140,182887,187431,191780,196063,200653,206043,212605,220312,229155,239527,251911,266543,283752,303175,323473,342798,359888,374120,385950,396454,407227,419430,433482,448973,465202,481090,495931,509765,523087,536213,549588,563699,578668,594930,613702,636545,664614,697549,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584,1566993,1637896,1697765,1744295,1780088,1808443,1834610,1862403,1892624,1923911,1955379,1985491,2013135,2038230,2061334,2082715,2102822,2121977,2140273,2157659,2174245,2190078,2205227,2219779,2233764,2247214,2260119,2272490,2284352,2295744,2306658,2317118,2327108,2336662,2345765,2354459,2362761,2370681,2378234,2385422,2392228,2398630,2404625,2410200,2415358,2420088,2424380,2428211,2431599,2434509,2436940,2438877,2440312,2441242,2441646,2441516,2440846,2439618,2437825,2435465,2432537,2429038,2424974,2420343,2415149,2409406,2403093,2396240,2388850,2380930,2372522,2363660,2354367,2344660,2334599,2324206,2313527,2302610,2291493,2280254,2268919,2257565,2246258
Bangladesh,BGD,48199747,49592802,51030137,52532417,54129100,55834038,57672990,59620669,61579473,63417394,65047770,66424744,67597470,68691185,69884420,71305923,72999136,74925896,77033846,79236776,81470860,83721268,86007331,88338242,90732362,93199865,95742431,98343809,100975321,103599232,106188642,108727432,111221938,113695139,116182267,118706871,121269645,123854640,126447965,129029691,131581243,134107160,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751,166368149,168065920,169775309,171499635,173229209,174947406,176631129,178262909,179836355,181353356,182814797,184224428,185584811,186894662,188151243,189354346,190504057,191600525,192643385,193632754,194569933,195456694,196294312,197083468,197823881,198514781,199154932,199743520,200280556,200766709,201202569,201589015,201926816,202216426,202458202,202652694,202800474,202902150,202958329,202969671,202936785,202860299,202740914,202579349,202376377,202132813,201849522,201527366,201167118,200769645,200336036,199867499,199365088,198829889,198262660,197663910,197033955,196373334,195682912,194963910,194217575,193445339,192648561,191828435,190986105,190122841,189239969,188338816,187420691,186486919,185538778,184577515,183604470,182621011,181628590,180628709,179622880,178612617,177599476,176584976,175570653,174558037,173548665
Barbados,BRB,230939,231678,232586,233587,234547,235374,236044,236621,237199,237913,238848,240035,241441,242976,244539,246034,247444,248784,250032,251177,252194,253080,253841,254518,255193,255924,256736,257611,258527,259458,260374,261275,262184,263089,264015,264959,265942,266945,267950,268922,269847,270685,271478,272258,273091,274009,275039,276150,277319,278470,279569,280601,281585,282509,283385,284217,284996,285719,286388,287010,287568,288071,288529,288928,289261,289538,289757,289908,290004,290040,290010,289938,289791,289599,289355,289050,288698,288296,287854,287367,286843,286293,285708,285095,284460,283799,283124,282438,281733,281024,280310,279604,278886,278176,277482,276792,276122,275451,274789,274155,273535,272931,272344,271773,271220,270677,270149,269638,269134,268649,268169,267700,267249,266799,266357,265926,265497,265071,264650,264234,263812,263395,262969,262549,262128,261706,261282,260853,260436,259998,259565,259126,258695,258253,257804,257357,256921,256465,256028,255580,255126
Belarus,BLR,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875,9452113,9433874,9415431,9397050,9377930,9357681,9335640,9311380,9284893,9256512,9226508,9195266,9163118,9130206,9096649,9062760,9028926,8995426,8962430,8930010,8898297,8867377,8837337,8808218,8780024,8752613,8725793,8699407,8673379,8647680,8622150,8596611,8570898,8544963,8518766,8492247,8465358,8438076,8410386,8382316,8353916,8325295,8296549,8267719,8238874,8210118,8181588,8153400,8125627,8098349,8071646,8045662,8020485,7996166,7972771,7950305,7928786,7908253,7888687,7870107,7852509,7835884,7820208,7805450,7791577,7778517,7766185,7754505,7743421,7732864,7722738,7712938,7703356,7693915,7684553,7675213,7665835,7656366,7646753,7636906,7626752,7616190,7605140
Belgium,BEL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11331422,11372068,11498519,11562784,11619972,11669155,11711336,11748557,11783859,11819487,11856107,11893179,11930295,11966633,12001594,12035200,12067775,12099350,12129970,12159663,12188440,12216266,12243125,12269006,12293880,12317742,12340605,12362469,12383341,12403243,12422194,12440194,12457232,12473248,12488233,12502201,12515235,12527427,12538866,12549705,12559984,12569767,12579191,12588375,12597441,12606449,12615469,12624568,12633826,12643295,12653016,12663015,12673268,12683746,12694403,12705265,12716324,12727512,12738769,12750022,12761260,12772487,12783703,12794949,12806236,12817566,12828916,12840293,12851692,12863112,12874544,12885972,12897379,12908760,12920100,12931362,12942529,12953534,12964355,12974911,12985164,12995064,13004548,13013559,13022033
Belize,BLZ,92064,94703,97384,100164,103069,106119,109347,112692,116061,119261,122182,124793,127150,129294,131307,133260,135147,136989,138965,141305,144155,147566,151500,155822,160347,164921,169568,174320,179028,183469,187552,191126,194317,197616,201674,206963,213676,221606,230284,239026,247315,254984,262206,269130,276089,283277,290747,298407,306165,313929,321608,329192,336701,344181,351694,359288,366954,374681,382444,390231,398007,405765,413509,421210,428847,436398,443865,451221,458472,465640,472702,479672,486544,493312,499968,506511,512945,519274,525489,531605,537621,543534,549358,555077,560702,566238,571685,577033,582273,587415,592420,597316,602081,606717,611225,615599,619850,623962,627937,631773,635466,639004,642406,645652,648759,651732,654568,657263,659819,662247,664545,666701,668739,670656,672440,674107,675666,677109,678443,679675,680814,681864,682819,683681,684467,685176,685796,686352,686835,687244,687598,687891,688116,688290,688401,688454,688456,688406,688299,688142,687935
Benin,BEN,2431622,2465867,2502896,2542859,2585965,2632356,2682159,2735307,2791590,2850661,2912340,2976572,3043567,3113675,3187412,3265165,3347173,3433439,3523938,3618526,3717165,3820128,3927714,4039949,4156819,4278501,4404506,4535263,4672852,4820016,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692,11485674,11801595,12122985,12449613,12781511,13118725,13461351,13809467,14162973,14521715,14885608,15254549,15628437,16007138,16390564,16778622,17171208,17568229,17969567,18375045,18784441,19197485,19613944,20033640,20456429,20882131,21310569,21741574,22174967,22610581,23048329,23488116,23929846,24373388,24818542,25265096,25712796,26161405,26610714,27060566,27510929,27961798,28413096,28864707,29316363,29767686,30218228,30667609,31115560,31561943,32006601,32449448,32890347,33329135,33765583,34199421,34630379,35058195,35482662,35903626,36321062,36734926,37145176,37551659,37954195,38352559,38746538,39135904,39520510,39900236,40274841,40644077,41007740,41365702,41717890,42064272,42404839,42739575,43068481,43391504,43708640,44019833,44325028
Bermuda,BMU,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,65341,65441,61070,60833,60639,60472,60354,60256,60154,60045,59915,59778,59621,59451,59273,59084,58890,58686,58451,58225,57974,57718,57447,57158,56866,56556,56221,55895,55546,55196,54843,54479,54117,53740,53378,53013,52655,52309,51968,51633,51316,51002,50702,50406,50115,49844,49588,49339,49092,48854,48626,48399,48191,47976,47764,47553,47345,47136,46925,46712,46497,46281,46068,45849,45629,45403,45178,44957,44736,44512,44283,44052,43834,43609,43384,43161,42947,42737,42524,42316,42116,41917,41719,41520,41336
