country_name,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Cyprus,CYP,572930,576395,577691,577913,578627,580966,585308,591308,598493,606113,613621,620859,628002,635111,642339,649755,657534,665528,673251,680011,685406,689173,691702,694077,697717,703687,712341,723380,736479,751044,766614,783129,800609,818751,837110,855384,873423,891192,908704,926050,943286,960282,976966,993563,1010410,1027658,1045509,1063712,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125,1179551,1189085,1198427,1207343,1215850,1224028,1231937,1239630,1247140,1254485,1261654,1268658,1275508,1282204,1288744,1295147,1301408,1307545,1313542,1319414,1325161,1330757,1336202,1341465,1346541,1351436,1356134,1360634,1364924,1368992,1372838,1376451,1379785,1382839,1385596,1388062,1390255,1392201,1393909,1395382,1396624,1397659,1398476,1399097,1399532,1399775,1399829,1399711,1399397,1398925,1398282,1397465,1396491,1395354,1394059,1392621,1391025,1389305,1387443,1385453,1383324,1381107,1378796,1376391,1373914,1371375,1368775,1366123,1363425,1360687,1357911,1355125,1352333,1349558,1346800,1344066,1341352,1338667,1336017,1333390,1330799,1328246,1325754,1323296
Czech Republic,CZE,9602006,9586651,9624660,9670685,9727804,9779358,9821040,9852899,9876346,9896580,9858071,9826815,9867632,9922266,9988459,10058620,10125939,10186755,10242098,10292341,10304193,10300591,10314826,10323856,10330213,10337118,10342227,10347318,10355276,10361068,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10591323,10625250,10630589,10633424,10633850,10632288,10628469,10622091,10612937,10601013,10586452,10569339,10549862,10528196,10504439,10478832,10451919,10424374,10396773,10369331,10342163,10315532,10289698,10264847,10241094,10218417,10196684,10175660,10155117,10134980,10115144,10095316,10075141,10054302,10032670,10010124,9986446,9961394,9934787,9906573,9876757,9845284,9812157,9777427,9741143,9703469,9664710,9625258,9585480,9545559,9505687,9466256,9427714,9390433,9354597,9320340,9287827,9257182,9228510,9201891,9177321,9154745,9134004,9114984,9097620,9081844,9067448,9054195,9041877,9030377,9019556,9009323,8999519,8990017,8980714,8971508,8962319,8953051,8943642,8934029,8924124,8913885,8903250,8892165
Denmark,DNK,4579603,4611687,4647727,4684483,4722072,4759012,4797381,4835354,4864883,4891860,4928757,4963126,4991596,5021861,5045297,5059862,5072596,5088419,5104248,5116801,5123027,5121572,5117810,5114297,5111619,5113691,5120534,5127024,5129516,5132594,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5769603,5754356,5775224,5796800,5819262,5842422,5866015,5889673,5913085,5936212,5959089,5981545,6003398,6024516,6044817,6064297,6082947,6100784,6117850,6134128,6149657,6164478,6178666,6192283,6205391,6218025,6230305,6242385,6254378,6266360,6278350,6290362,6302373,6314402,6326476,6338616,6350814,6363059,6375329,6387630,6399976,6412389,6424944,6437647,6450510,6463515,6476637,6489848,6503115,6516418,6529725,6543013,6556236,6569355,6582342,6595147,6607744,6620070,6632079,6643753,6655056,6665953,6676385,6686353,6695817,6704801,6713279,6721238,6728684,6735630,6742093,6748196,6754064,6759801,6765474,6771085,6776645,6782125,6787536,6792894,6798233,6803620,6809146,6814919
Djibouti,DJI,83636,88498,94204,100628,107583,114963,122866,131397,140462,149887,159659,169372,179224,190568,205181,224183,248556,277479,308008,336085,358960,374937,385271,393802,406017,425613,454361,490330,528999,563864,590398,606844,615054,618495,622366,630388,643682,660953,680612,700099,717584,732711,746221,758615,770752,783254,796208,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333,956985,971408,985690,999899,1014025,1028031,1041880,1055552,1069009,1082248,1095262,1108021,1120511,1132710,1144609,1156203,1167462,1178401,1189001,1199256,1209170,1218739,1227967,1236850,1245401,1253614,1261491,1269036,1276268,1283179,1289766,1296038,1301978,1307615,1312919,1317902,1322563,1326904,1330906,1334592,1337932,1340951,1343630,1345960,1347944,1349591,1350894,1351881,1352536,1352880,1352927,1352664,1352125,1351296,1350199,1348847,1347255,1345455,1343453,1341281,1338939,1336447,1333818,1331086,1328251,1325316,1322310,1319244,1316122,1312964,1309772,1306535,1303257,1299918,1296526,1293080,1289587,1286044,1282463,1278844,1275181,1271459,1267674,1263813
Dominica,DMA,60011,61032,61982,62918,63926,65038,66311,67686,69040,70213,71073,71569,71734,71744,71807,72094,72642,73411,74242,74925,75314,75375,75170,74747,74213,73643,73025,72370,71742,71242,70926,70842,70970,71210,71373,71368,71145,70753,70290,69903,69676,69670,69824,70093,70379,70627,70807,70950,71074,71229,71440,71718,72044,72400,72778,73162,73543,73925,74308,74679,75052,75401,75748,76070,76369,76643,76884,77106,77295,77453,77593,77694,77778,77832,77868,77883,77884,77866,77848,77811,77766,77709,77645,77577,77489,77396,77287,77163,77034,76884,76725,76541,76347,76141,75911,75668,75407,75130,74841,74533,74216,73880,73533,73183,72816,72445,72054,71665,71265,70847,70447,70031,69618,69198,68772,68342,67901,67450,67001,66546,66065,65592,65104,64613,64122,63630,63139,62659,62181,61705,61229,60764,60301,59848,59406,58962,58541,58119,57708,57306,56914
Dominican Republic,DOM,3294042,3406299,3521278,3638628,3757956,3878948,4001375,4125109,4250025,4376054,4503114,4631114,4759934,4889436,5019473,5149935,5280723,5411865,5543517,5675931,5809269,5943591,6078820,6214857,6351572,6488856,6626542,6764624,6903316,7042937,7183647,7325622,7468551,7611465,7753052,7892423,8029113,8163472,8296375,8429112,8562622,8697126,8832285,8967760,9102998,9237566,9371338,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791,10766998,10882996,10996774,11108358,11217656,11324614,11429275,11531725,11631994,11730102,11825969,11919438,12010267,12098320,12183473,12265750,12345299,12422304,12496897,12569110,12638824,12705838,12769880,12830731,12888356,12942757,12993954,13041949,13086762,13128379,13166855,13202295,13234877,13264741,13291955,13316538,13338523,13357936,13374780,13389108,13400976,13410451,13417615,13422524,13425223,13425757,13424122,13420352,13414455,13406462,13396406,13384305,13370168,13354004,13335854,13315728,13293677,13269727,13243914,13216281,13186865,13155673,13122719,13088049,13051671,13013650,12974047,12932908,12890307,12846298,12800922,12754241,12706322,12657220,12606990,12555692,12503383,12450118,12395962,12340967,12285199,12228711,12171577,12113860
Ecuador,ECU,4545550,4676859,4812890,4953733,5099468,5250119,5405685,5566057,5730906,5899845,6072527,6248835,6428711,6611916,6798206,6987391,7179399,7374234,7571959,7772653,7976445,8183194,8392940,8606213,8823751,9045979,9272906,9504129,9739176,9977377,10218091,10460990,10705667,10951202,11196479,11440583,11683479,11924993,12163885,12398691,12628596,12852755,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068,16624858,16863425,17100444,17335642,17568798,17799780,18028434,18254667,18478364,18699380,18917584,19132925,19345363,19554856,19761328,19964652,20164669,20361220,20554156,20743359,20928791,21110367,21288034,21461740,21631425,21797038,21958497,22115727,22268680,22417298,22561555,22701478,22837111,22968451,23095520,23218266,23336670,23450699,23560315,23665540,23766347,23862704,23954542,24041840,24124590,24202801,24276521,24345816,24410731,24471308,24527551,24579457,24627010,24670209,24709076,24743677,24774100,24800448,24822803,24841272,24855893,24866678,24873639,24876794,24876218,24872012,24864346,24853391,24839312,24822211,24802174,24779340,24753852,24725840,24695405,24662611,24627514,24590146,24550543,24508756,24464814,24418769,24370671,24320580
"Egypt, Arab Rep.",EGY,26996533,27744712,28506176,29281250,30071102,30875964,31697616,32534021,33377259,34216826,35046273,35863382,36673642,37488067,38322022,39187702,40089032,41026477,42004655,43027816,44099142,45216506,46379620,47594556,48868951,50204985,51607703,53066229,54547296,56006573,57412215,58752390,60035536,61275601,62495745,63714386,64933456,66151117,67378056,68626664,69905988,71226940,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151,99375741,101168745,102941484,104692187,106416061,108116982,109800309,111470930,113130458,114781107,116429178,118082119,119745677,121421618,123110062,124812705,126530788,128264287,130013689,131776462,133545421,135311042,137065513,138805578,140529930,142235097,143917867,145575547,147205904,148807449,150379368,151921405,153433492,154915089,156366037,157787287,159180298,160546412,161885864,163199201,164488575,165756609,167005245,168235450,169447086,170639679,171812229,172963944,174094819,175205055,176294186,177361668,178407025,179430064,180430653,181408605,182363701,183295801,184204709,185090341,185952865,186792549,187609559,188403749,189174888,189922985,190648066,191350010,192028641,192683525,193313969,193919115,194498197,195050638,195576003,196073936,196544082,196985980,197399094,197782729,198136077,198458209,198748056
El Salvador,SLV,2762899,2843240,2927857,3015887,3106186,3197863,3290411,3383701,3477742,3572707,3668595,3765166,3861931,3958323,4053713,4147525,4239675,4329964,4417516,4501316,4580704,4655364,4725720,4792903,4858532,4923860,4988943,5053714,5119035,5185943,5254984,5326657,5400331,5474000,5544945,5611115,5671925,5727755,5778706,5825187,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722,6377853,6411558,6445405,6479066,6512324,6545173,6577561,6609535,6641077,6672171,6702612,6731997,6759778,6785583,6809174,6830667,6850432,6869026,6886840,6904012,6920362,6935627,6949436,6961520,6971811,6980404,6987377,6992860,6996962,6999686,7001019,7001030,6999809,6997410,6993870,6989179,6983296,6976177,6967763,6958062,6947074,6934767,6921094,6906033,6889562,6871704,6852455,6831846,6809916,6786661,6762082,6736184,6708992,6680505,6650734,6619704,6587412,6553848,6519018,6482966,6445712,6407274,6367667,6326918,6285067,6242195,6198375,6153732,6108370,6062356,6015776,5968743,5921387,5873823,5826148,5778440,5730770,5683188,5635784,5588619,5541760,5495322,5449384,5404065
Equatorial Guinea,GNQ,255323,258947,262590,266598,271457,277396,284868,293440,301353,306233,306515,301666,292585,281021,269426,259747,252194,246677,244485,247078,255325,270063,290617,314475,338086,358896,376024,390173,402326,414138,426846,440624,455148,470610,487140,504871,523999,544636,566673,589938,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689,1313894,1360104,1406280,1452350,1498287,1544203,1590279,1636622,1683298,1730260,1777358,1824393,1871220,1917787,1964178,2010610,2057392,2104728,2152689,2201208,2250162,2299375,2348714,2398149,2447695,2497320,2546981,2596652,2646294,2695886,2745462,2795078,2844744,2894470,2944196,2993886,3043453,3092849,3142031,3190988,3239660,3287993,3335951,3383481,3430556,3477168,3523281,3568873,3613926,3658407,3702286,3745520,3788094,3829976,3871160,3911644,3951429,3990517,4028902,4066584,4103552,4139809,4175349,4210173,4244286,4277679,4310397,4342414,4373775,4404439,4434425,4463733,4492376,4520335,4547616,4574218,4600126,4625356,4649879,4673700,4696819,4719218,4740885
Eritrea,ERI,1397491,1432640,1469645,1508273,1548187,1589179,1631147,1674204,1718525,1764343,1811878,1861199,1912302,1965160,2019717,2075965,2133723,2193068,2254450,2318495,2385540,2454766,2525521,2598410,2674289,2753151,2837111,2924349,3006361,3071771,3113311,3127297,3118582,3099047,3085443,3090159,3116379,3161350,3224223,3302263,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,4840901,4945529,5054634,5169118,5281340,5395998,5187948,5309659,5432216,5555141,5678798,5803376,5929298,6056880,6186016,6316482,6448451,6582129,6717687,6855107,6994250,7135034,7277273,7420805,7565543,7711344,7857969,8005125,8152540,8300073,8447599,8594901,8741756,8887988,9033461,9178086,9321828,9464689,9606664,9747675,9887684,10026695,10164756,10301880,10438046,10573202,10707355,10840490,10972592,11103618,11233513,11362223,11489663,11615750,11740447,11863684,11985320,12105203,12223199,12339236,12453286,12565299,12675271,12783154,12888925,12992537,13094022,13193371,13290621,13385742,13478715,13569555,13658246,13744780,13829153,13911361,13991410,14069275,14144954,14218451,14289753,14358866,14425792,14490515,14553043,14613381,14671525,14727455,14781199
Estonia,EST,1211537,1225077,1241623,1258857,1277086,1294566,1308597,1318946,1331214,1345249,1360076,1376955,1392518,1405951,1418169,1429352,1439576,1450211,1460188,1468333,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1315480,1306788,1303798,1300559,1297038,1293233,1289139,1284758,1280134,1275230,1270080,1264718,1259199,1253590,1247907,1242160,1236396,1230662,1225001,1219434,1213952,1208550,1203224,1197944,1192713,1187539,1182371,1177191,1171949,1166655,1161291,1155854,1150337,1144747,1139057,1133283,1127422,1121474,1115451,1109354,1103177,1096946,1090654,1084309,1077928,1071509,1065082,1058661,1052261,1045889,1039568,1033297,1027095,1020969,1014935,1008992,1003157,997439,991838,986370,981040,975843,970786,965871,961105,956476,951982,947647,943450,939392,935462,931661,927960,924380,920873,917439,914077,910758,907471,904194,900908,897589,894218,890759
Ethiopia,ETH,22151278,22671190,23221389,23798429,24397024,25013626,25641376,26281208,26946079,27654161,28415077,29245207,30132580,31025115,31851708,32566821,33146891,33622390,34068316,34590226,35264898,36120288,37136848,38285883,39518801,40800343,42120730,43493283,44932064,46458913,48086516,49821083,51647768,53532956,55431123,57309880,59155148,60976450,62794151,64640054,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438,107534882,110135635,112759070,115403326,118065225,120741324,123427617,126120682,128817980,131517867,134218920,136920107,139620178,142317586,145010282,147695897,150371875,153036024,155686416,158322006,160942553,163548404,166139393,168714421,171271652,173809294,176325273,178817639,181284897,183725643,186137980,188519926,190869632,193185551,195466255,197710275,199916172,202082564,204208147,206291692,208332018,210328007,212278592,214182834,216039798,217848514,219608052,221317582,222976385,224583933,226139950,227644312,229096851,230497429,231845706,233141129,234383041,235571073,236705093,237785421,238812773,239788134,240712370,241586168,242409837,243183424,243906792,244580164,245204073,245779682,246308653,246793009,247234529,247634562,247994071,248313819,248594555,248837223,249042980,249213269,249349816,249454608,249529919
Faroe Islands,FRO,34661,35115,35570,36014,36454,36900,37334,37768,38200,38646,39083,39537,40009,40486,40955,41407,41848,42275,42693,43101,43514,43917,44307,44700,45122,45573,46077,46621,47117,47466,47594,47457,47101,46640,46250,46040,46058,46251,46580,46937,47258,47526,47769,47974,48143,48285,48383,48448,48485,48517,48550,48608,48666,48747,48842,48965,49117,49290,49489,49692,49896,50103,50304,50507,50715,50932,51151,51383,51608,51841,52067,52296,52525,52745,52964,53166,53361,53542,53715,53881,54026,54169,54298,54416,54530,54631,54722,54802,54879,54961,55022,55091,55150,55223,55286,55353,55424,55493,55564,55642,55720,55805,55883,55969,56059,56152,56240,56334,56419,56514,56602,56692,56777,56860,56944,57015,57085,57161,57221,57283,57323,57374,57410,57449,57471,57494,57512,57522,57523,57521,57520,57502,57484,57457,57426,57393,57355,57310,57269,57226,57189
Fiji,FJI,393386,407156,421577,436208,450450,463883,476324,487913,498892,509658,520529,531601,542814,554107,565388,576595,587520,598259,609345,621538,635255,650955,668198,685391,700366,711661,718548,721725,722917,724624,728628,735473,744531,755026,765667,775498,784476,792860,800315,806494,811223,814218,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760,905502,912241,918757,924915,930655,936021,941061,945843,950430,954819,958985,962953,966711,970270,973640,976826,979803,982586,985150,987513,989652,991583,993298,994801,996089,997158,998019,998661,999087,999293,999277,999088,998711,998190,997526,996715,995770,994678,993452,992073,990562,988922,987158,985264,983240,981109,978862,976511,974052,971501,968867,966132,963317,960421,957465,954429,951325,948150,944901,941587,938198,934748,931245,927692,924092,920454,916760,913006,909192,905325,901391,897403,893366,889281,885156,880980,876766,872504,868221,863905,859563,855206,850827,846454
Finland,FIN,4429634,4461005,4491443,4523309,4548543,4563732,4580869,4605744,4626469,4623785,4606307,4612124,4639657,4666081,4690574,4711440,4725664,4738902,4752528,4764690,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5511303,5542517,5561389,5580127,5598770,5617163,5635162,5652535,5669119,5684877,5699824,5713891,5726992,5739095,5750172,5760268,5769430,5777716,5785214,5791952,5798018,5803536,5808657,5813529,5818217,5822791,5827357,5832073,5837028,5842305,5847919,5853826,5859994,5866350,5872906,5879682,5886658,5893822,5901156,5908636,5916254,5924009,5931886,5939874,5947958,5956108,5964293,5972455,5980556,5988586,5996497,6004264,6011795,6019077,6026060,6032751,6039138,6045197,6050929,6056331,6061402,6066192,6070762,6075168,6079421,6083529,6087500,6091327,6095031,6098608,6102070,6105430,6108700,6111888,6114998,6118017,6120952,6123798,6126553,6129189,6131718,6134132,6136420,6138570
France,FRA,46814237,47444751,48119649,48803680,49449403,50023774,50508717,50915456,51276054,51638260,52035095,52480421,52959228,53441264,53882416,54252574,54541493,54764462,54947975,55130594,55340782,55585824,55858727,56156284,56470769,56795686,57132691,57482591,57836486,58182702,58512808,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016227,64374989,64707044,65027507,65342775,65659789,65998660,66316092,66593366,66859768,67118648,65233271,65480710,65721165,65954741,66182378,66405223,66624723,66841951,67057171,67270163,67480850,67689001,67894271,68096621,68295673,68490279,68678970,68860560,69034688,69201204,69359408,69508594,69648311,69778363,69899000,70010835,70114775,70211636,70301774,70385563,70463968,70538132,70608998,70677250,70743274,70807346,70869589,70930256,70989694,71048444,71107175,71166642,71227445,71289926,71354276,71420764,71489622,71561003,71635042,71711723,71790922,71872375,71955834,72041181,72128233,72216704,72306248,72396525,72487375,72578538,72669439,72759401,72847892,72934560,73019377,73102602,73184667,73265876,73346156,73425247,73502919,73578863,73652809,73724553,73793939,73860834,73925107,73986579,74045009,74100112,74151533,74198874,74241659
French Polynesia,PYF,78076,80703,83651,86837,90132,93438,96732,100029,103386,106857,110495,114313,118279,122356,126486,130619,134748,138864,143032,147296,151708,156243,160888,165613,170396,175204,180075,184950,189738,194252,198375,202016,205266,208345,211579,215196,219283,223731,228376,232952,237258,241273,245006,248499,251775,254886,257832,260594,263179,265581,267820,269843,271703,273528,275484,277690,280208,283007,285859,288506,290744,292488,293834,294950,296101,297475,299127,300983,302959,304927,306760,308445,310025,311503,312896,314233,315498,316697,317816,318861,319836,320739,321569,322323,323008,323632,324183,324659,325075,325434,325713,325933,326095,326196,326239,326227,326169,326059,325894,325693,325440,325152,324829,324462,324049,323617,323143,322640,322096,321528,320927,320294,319635,318947,318235,317480,316706,315893,315061,314193,313312,312393,311446,310484,309493,308482,307447,306408,305340,304264,303179,302084,300980,299868,298751,297629,296504,295370,294244,293113,291986
Gabon,GAB,499184,504167,509806,516265,523789,532511,542557,553823,565873,578108,590118,601731,613123,624621,636696,649716,663770,678774,694732,711533,729159,747587,766855,787013,808083,830085,853027,876863,901458,926622,952212,978223,1004676,1031504,1058663,1086137,1113994,1142324,1171224,1200773,1231122,1262259,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137,2067561,2109099,2151289,2194488,2238282,2282534,2326901,2371137,2415315,2459617,2504065,2548693,2593514,2638542,2683764,2729214,2774890,2820808,2866951,2913301,2959830,3006498,3053264,3100094,3146962,3193804,3240543,3287137,3333540,3379697,3425558,3471063,3516141,3560758,3604886,3648482,3691507,3733944,3775764,3816942,3857494,3897426,3936753,3975451,4013545,4051034,4087941,4124301,4160094,4195328,4230012,4264168,4297786,4330873,4363416,4395410,4426825,4457644,4487871,4517477,4546456,4574800,4602495,4629531,4655881,4681536,4706457,4730636,4754058,4776706,4798559,4819604,4839822,4859186,4877726,4895418,4912281,4928318,4943536,4957934,4971534,4984324,4996323
Gambia,GMB,367928,376737,383523,389072,394553,400861,408180,416339,425510,435798,447285,460194,474539,489861,505512,521070,536409,551817,567831,585157,604369,625411,648210,673238,701104,732096,766589,804125,843050,881138,916808,949493,979718,1008358,1036829,1066223,1096708,1128169,1160944,1195420,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568,2163765,2228075,2293493,2359954,2427423,2495903,2565346,2635740,2707043,2779225,2852248,2926075,3000667,3075997,3151996,3228620,3305795,3383475,3461606,3540115,3618924,3697953,3777102,3856320,3935557,4014728,4093762,4172601,4251178,4329458,4407399,4484972,4562152,4638898,4715155,4790919,4866138,4940793,5014835,5088254,5160997,5233040,5304345,5374891,5444629,5513532,5581573,5648736,5714972,5780241,5844490,5907669,5969719,6030593,6090268,6148691,6205814,6261599,6316008,6369016,6420602,6470716,6519349,6566465,6612063,6656156,6698744,6739862,6779507,6817672,6854338,6889480,6923093,6955181,6985756,7014859,7042518,7068758,7093622,7117142,7139330,7160207,7179802
Georgia,GEO,3645600,3703600,3760300,3816100,3870300,3921600,3966700,4005800,4042300,4080300,4119900,4163000,4205300,4242500,4279500,4311200,4342400,4372100,4397700,4430200,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4861600,4734000,4616100,4531600,4487300,4452500,4418300,4386400,4357000,4301000,4245000,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300,3717100,3907131,3904204,3898529,3888720,3875910,3860783,3844853,3829218,3813765,3797879,3781626,3765090,3748350,3731428,3714369,3697215,3680013,3662822,3645651,3628501,3611354,3594175,3576930,3559615,3542228,3524684,3506900,3488799,3470363,3451615,3432545,3413224,3393665,3373875,3353882,3333720,3313411,3292996,3272498,3251961,3231422,3210933,3190547,3170278,3150162,3130223,3110502,3091026,3071823,3052884,3034212,3015801,2997646,2979725,2962066,2944645,2927464,2910505,2893768,2877237,2860926,2844812,2828914,2813215,2797699,2782365,2767239,2752272,2737480,2722844,2708362,2694021,2679812,2665710,2651709,2637784,2623900,2610049,2596204,2582321,2568388,2554381,2540252
Germany,DEU,72814900,73377632,74025784,74714353,75318337,75963695,76600311,76951336,77294314,77909682,78169289,78312842,78688452,78936666,78967433,78673554,78336950,78159814,78091820,78126350,78288576,78407907,78333366,78128282,77858685,77684873,77720436,77839920,78144619,78751283,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82695000,82293457,82438639,82540450,82590869,82591766,82556732,82506139,82455044,82407574,82359998,82310176,82253517,82186736,82110139,82025793,81934057,81835396,81730117,81618342,81499881,81374310,81241016,81099557,80949943,80792260,80626348,80452010,80269191,80078254,79879592,79673303,79459474,79238486,79010818,78777564,78540532,78301963,78063809,77826955,77592211,77361376,77136415,76918850,76709335,76507989,76314983,76130217,75953380,75784532,75623098,75467311,75314850,75163796,75013549,74863770,74713179,74560401,74404477,74244994,74082155,73916588,73749314,73581317,73412769,73244157,73077133,72913783,72755692,72603523,72457323,72317318,72183560,72055949,71934381,71818660,71708493,71603441,71502897,71406080,71311986,71219433,71127058,71033283
Ghana,GHA,6652287,6866539,7085464,7303432,7513289,7710549,7890992,8057444,8221020,8397347,8596983,8827273,9083573,9350111,9604276,9831407,10023472,10189890,10354499,10550777,10802028,11117605,11488106,11895125,12311158,12716228,13104296,13481406,13854214,14233874,14628260,15039514,15463854,15896432,16330174,16760467,17185608,17608812,18036494,18477612,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629,29463643,30096970,30733755,31374052,32017825,32665069,33315708,33969758,34627161,35287968,35952490,36621087,37294019,37971309,38652767,39338139,40027113,40719336,41414511,42112439,42813023,43516217,44221824,44929545,45638788,46348729,47058334,47766708,48473345,49177795,49879254,50576874,51269943,51957995,52640729,53317970,53989616,54655603,55315682,55969713,56617789,57260151,57896929,58528042,59153361,59772916,60386781,60994934,61597278,62193611,62783647,63367021,63943441,64512656,65074418,65628347,66173992,66710967,67238954,67757691,68266951,68766527,69256200,69735850,70205197,70663721,71110753,71545859,71968787,72379686,72778876,73166895,73544161,73910929,74267216,74613028,74948365,75273295,75588035,75892946,76188555,76475504,76754605
Gibraltar,GIB,23394,23786,24284,24848,25454,26041,26612,27174,27694,28159,28560,28869,29104,29278,29427,29578,29742,29902,30049,30177,30272,30334,30381,30383,30325,30207,30004,29744,29469,29262,29164,29212,29379,29623,29895,30147,30382,30594,30801,30991,31180,31374,31544,31720,31896,32085,32296,32510,32732,32956,33189,33405,33623,33831,34038,34228,34408,34571,34733,34879,35000,35124,35233,35327,35417,35501,35588,35671,35748,35821,35897,35964,36033,36099,36166,36229,36283,36347,36410,36466,36526,36591,36650,36707,36760,36819,36874,36918,36975,37017,37053,37090,37130,37164,37192,37216,37233,37255,37258,37267,37283,37283,37287,37296,37293,37291,37286,37288,37285,37283,37282,37281,37287,37289,37290,37291,37300,37298,37307,37303,37306,37316,37319,37323,37323,37325,37329,37334,37334,37338,37336,37332,37336,37323,37321,37316,37310,37299,37295,37279,37272
Greece,GRC,8331725,8398050,8448233,8479625,8510429,8550333,8613651,8684088,8740765,8772764,8792806,8831036,8888628,8929086,8962022,9046541,9188150,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934300,9967213,10000595,10036983,10089498,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10760421,11142161,11124603,11102572,11075319,11044663,11011602,10977842,10944624,10912058,10879692,10847537,10815536,10783625,10751812,10720084,10688329,10656384,10624074,10591302,10557942,10523758,10488487,10451869,10413781,10374132,10332689,10289221,10243564,10195638,10145435,10092986,10038342,9981568,9922741,9861949,9799382,9735242,9669776,9603125,9535445,9467039,9398232,9329295,9260454,9191847,9123649,9056007,8989058,8922938,8857808,8793859,8731337,8670399,8611162,8553663,8497902,8443833,8391429,8340685,8291595,8244111,8198150,8153652,8110556,8068783,8028199,7988647,7949986,7912137,7875056,7838545,7802427,7766564,7730905,7695415,7660144,7625124,7590424,7556082,7522134,7488593,7455490,7422817
